orient,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,polygon.stopped,polygon_2.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
45,30,1,61,1,130.21754650000366,,130.20570670001325,130.21754650000366,131.2167032000143,131.2167032000143,131.71635740000056,131.71635740000056,132.0161669999943,132.0161669999943,132.0341316999984,up,0,0.008255299995653331,None,-5,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,31,0,62,0,132.0496020000137,,132.03633689999697,132.0496020000137,133.0488234999939,133.0488234999939,133.5497554000176,133.5497554000176,133.84806020001997,133.864553899999,134.05023730001994,up,1,0.20033270001295023,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,31,1,63,1,134.06438180000987,,134.05351820000215,134.06438180000987,135.06350039999234,135.06350039999234,135.56324240000686,135.56324240000686,135.86281700001564,135.86281700001564,136.0146636000136,up,0,0.1443276999925729,None,-2,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,32,0,64,0,136.02970070001902,,136.01734849999775,136.02970070001902,137.02883650001604,137.04544310001074,137.5285882000171,137.5285882000171,137.82819220001693,137.82819220001693,138.04590240001562,up,1,0.20663299999432638,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,32,1,65,1,138.06157029999304,,138.04762860000483,138.06157029999304,139.06028860001243,139.07715329999337,139.5598400000017,139.5598400000017,139.85958469999605,139.85958469999605,140.06056770001305,up,0,0.19042319999425672,None,2,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,33,0,66,1,140.07673309999518,,140.06197549999342,140.07673309999518,141.07565300000715,141.09228490001988,141.57515580000472,141.57515580000472,141.87483330001123,141.87483330001123,142.30851940001594,up,1,0.4206320999946911,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,33,1,67,0,142.32439069999964,,142.31058240000857,142.32439069999964,143.3235903000168,143.3235903000168,143.82316950001405,143.82316950001405,144.12297940001008,144.12297940001008,144.5735124000057,down,1,0.4369418999995105,None,3,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,34,0,68,1,144.58984639999107,,144.57495209999615,144.58984639999107,145.58841339999344,145.60493600001791,146.08798760001082,146.08798760001082,146.38779330000398,146.38779330000398,146.63946860001306,up,1,0.24222939999890514,None,0,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,34,1,69,0,146.65408619999653,,146.64356840000255,146.65408619999653,147.65323850000277,147.65323850000277,148.1530466999975,148.1530466999975,148.45251530001406,148.45251530001406,148.78776959999232,down,1,0.3247648999968078,None,3,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
45,35,0,70,1,148.80222579999827,,148.79055030000745,148.80222579999827,149.8016120000102,149.8016120000102,150.3011305000109,150.3011305000109,150.60075569999753,150.60075569999753,150.85204430000158,down,1,0.24675550000392832,None,-4,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
0,35,1,71,0,150.86740670001018,,150.85455680001178,150.86740670001018,151.86661090000416,151.86661090000416,152.3662897000031,152.3662897000031,152.66594040000928,152.66594040000928,152.86727950000204,up,0,0.19391319999704137,None,2,Hirva,001,2023-11-27_23h17.06.690,Final_Project,2023.2.3,59.98685088342161,2023-11-27 23h17.20.401846 +0530,
